income,mean,median,p5,p10,p25,p75,p90,p95,negative_rate_count,negative_rate_pct
9000.0,-0.3223799999999987,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
9500.0,-0.32237999999999867,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
10000.0,-0.32237999999999867,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
10500.0,-0.3223800000000034,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,81,81.0
11000.0,-0.3223799999999988,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
11500.0,-0.3223799999999987,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
12000.0,-0.3223800000000032,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,81,81.0
12500.0,-0.3223799999999987,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
13000.0,-0.3223799999999988,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
13500.0,-0.32238000000000333,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,81,81.0
14000.0,-0.3223799999999987,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
14500.0,-0.32237999999999867,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
15000.0,-0.3223800000000033,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,81,81.0
15500.0,-0.29383999999999866,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
16000.0,-0.27377999999999875,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
16500.0,-0.27377999999999864,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
17000.0,-0.27377999999999864,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
17500.0,-0.27378000000000335,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,81,81.0
18000.0,-0.23179999999999873,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
18500.0,-0.1659599999999987,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
19000.0,-0.12798000000000337,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,-0.1580000000000041,0.0,0.0,81,81.0
19500.0,-0.12797999999999868,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
20000.0,-0.12797999999999868,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,-0.1579999999999984,0.0,0.0,81,81.0
