income,income_cents,zorgtoeslag,zorgtoeslag_eligible,huurtoeslag,huurtoeslag_eligible,bijstand,bijstand_eligible,tax,tax_credits,disposable_income,marginal_rate_zorgtoeslag,marginal_rate_huurtoeslag,marginal_rate_bijstand,marginal_rate_tax,marginal_rate_tax_credits,marginal_rate_total
17000.0,1700000,149.14000000000001,True,0.0,True,0.0,False,0.0,7568.0,1565.8066666666666,-0.15833333333330302,0.0,0.0,0.0,0.0,-0.15833333333330302
17100.0,1710000,148.98166666666665,True,0.0,True,0.0,False,0.0,7568.0,1573.9816666666666,-0.15833333333335986,0.0,0.0,0.0,0.0,-0.15833333333335986
17200.0,1720000,148.82416666666668,True,0.0,True,0.0,False,0.0,7568.0,1582.1575000000003,-0.15749999999997044,0.0,0.0,0.0,0.0,-0.15749999999997044
17300.0,1730000,148.66583333333332,True,0.0,True,0.0,False,0.0,7568.0,1590.3324999999998,-0.15833333333335986,0.0,0.0,0.0,0.0,-0.15833333333335986
17400.0,1740000,148.50833333333333,True,0.0,True,0.0,False,0.0,7568.0,1598.5083333333332,-0.15749999999999886,0.0,0.0,0.0,0.0,-0.15749999999999886
17500.0,1750000,148.35,True,0.0,True,0.0,False,0.0,7568.0,1606.6833333333334,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
17600.0,1760000,148.19166666666666,True,0.0,True,0.0,False,0.0,7568.0,1614.8583333333331,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
17700.0,1770000,148.03416666666666,True,0.0,True,0.0,False,0.0,7568.0,1623.0341666666666,-0.15749999999999886,0.0,0.0,0.0,0.0,-0.15749999999999886
17800.0,1780000,147.87583333333333,True,0.0,True,0.0,False,0.0,7568.0,1631.2091666666668,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
17900.0,1790000,147.71833333333333,True,0.0,True,0.0,False,0.0,7568.0,1639.3849999999998,-0.15749999999999886,0.0,0.0,0.0,0.0,-0.15749999999999886
18000.0,1800000,147.56,True,0.0,True,0.0,False,0.0,7568.0,1647.56,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
18100.0,1810000,147.40166666666667,True,0.0,True,0.0,False,0.0,7568.0,1655.7350000000001,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
18200.0,1820000,147.24416666666667,True,0.0,True,0.0,False,0.0,7568.0,1663.9108333333331,-0.15749999999999886,0.0,0.0,0.0,0.0,-0.15749999999999886
18300.0,1830000,147.08583333333334,True,0.0,True,0.0,False,0.0,7568.0,1672.0858333333333,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
18400.0,1840000,146.92833333333334,True,0.0,True,0.0,False,0.0,7568.0,1680.2616666666668,-0.15749999999999886,0.0,0.0,0.0,0.0,-0.15749999999999886
18500.0,1850000,146.77,True,0.0,True,0.0,False,0.0,7568.0,1688.4366666666665,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
18600.0,1860000,146.61166666666665,True,0.0,True,0.0,False,0.0,7568.0,1696.6116666666667,-0.15833333333335986,0.0,0.0,0.0,0.0,-0.15833333333335986
18700.0,1870000,146.45416666666668,True,0.0,True,0.0,False,0.0,7568.0,1704.7875000000001,-0.15749999999997044,0.0,0.0,0.0,0.0,-0.15749999999997044
18800.0,1880000,146.29583333333332,True,0.0,True,0.0,False,0.0,7568.0,1712.9624999999999,-0.15833333333335986,0.0,0.0,0.0,0.0,-0.15833333333335986
18900.0,1890000,146.13833333333335,True,0.0,True,0.0,False,0.0,7568.0,1721.1383333333333,-0.15749999999997044,0.0,0.0,0.0,0.0,-0.15749999999997044
19000.0,1900000,145.98,True,0.0,True,0.0,False,0.0,7568.0,1729.3133333333335,-0.15833333333335986,0.0,0.0,0.0,0.0,-0.15833333333335986
19100.0,1910000,145.82166666666666,True,0.0,True,0.0,False,0.0,7568.0,1737.4883333333332,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
19200.0,1920000,145.66416666666666,True,0.0,True,0.0,False,0.0,7568.0,1745.6641666666667,-0.15749999999999886,0.0,0.0,0.0,0.0,-0.15749999999999886
19300.0,1930000,145.50583333333333,True,0.0,True,0.0,False,0.0,7568.0,1753.8391666666669,-0.15833333333333144,0.0,0.0,0.0,0.0,-0.15833333333333144
19400.0,1940000,145.34833333333333,True,0.0,True,0.0,False,0.0,7568.0,1762.0149999999999,-0.15749999999999886,0.0,0.0,0.0,0.0,-0.15749999999999886
