ID,StatusVanBewoning,RegioS,Perioden,TotaleWoningvoorraad_1,Koopwoningen_2,TotaalHuurwoningen_3,EigendomWoningcorporatie_4,EigendomOverigeVerhuurders_5,EigendomOnbekend_6
98,Totaal,Drenthe (PV),2012,219432.0,141292.0,74184.0,55065.0,19119.0,3956.0
99,Totaal,Drenthe (PV),2013,214890.0,140359.0,72753.0,53972.0,18781.0,1778.0
100,Totaal,Drenthe (PV),2014,218025.0,141011.0,74462.0,53915.0,20547.0,2552.0
101,Totaal,Drenthe (PV),2015,218383.0,141242.0,74689.0,53918.0,20771.0,2452.0
102,Totaal,Drenthe (PV),2016,218625.0,142054.0,73893.0,53840.0,20053.0,2678.0
103,Totaal,Drenthe (PV),2017,219240.0,142197.0,74289.0,53850.0,20439.0,2754.0
104,Totaal,Drenthe (PV),2018,220818.0,143746.0,74308.0,54001.0,20307.0,2764.0
105,Totaal,Drenthe (PV),2019,222197.0,146740.0,74835.0,55658.0,19177.0,622.0
106,Totaal,Drenthe (PV),2020,223251.0,147267.0,75727.0,55294.0,20433.0,257.0
107,Totaal,Drenthe (PV),2021,224556.0,148079.0,76185.0,55363.0,20822.0,292.0
108,Totaal,Drenthe (PV),2022,226319.0,149684.0,76410.0,55358.0,21052.0,225.0
109,Totaal,Drenthe (PV),2023,227907.0,150708.0,76973.0,55285.0,21688.0,226.0
110,Totaal,Drenthe (PV),2024,229268.0,152072.0,77002.0,55201.0,21801.0,194.0
111,Totaal,Drenthe (PV),2025,230308.0,153409.0,76858.0,55303.0,21555.0,41.0
112,Totaal,Overijssel (PV),2012,482572.0,289489.0,188045.0,139728.0,48317.0,5038.0
113,Totaal,Overijssel (PV),2013,485391.0,291336.0,190267.0,139803.0,50464.0,3788.0
114,Totaal,Overijssel (PV),2014,487577.0,291816.0,190849.0,138616.0,52233.0,4912.0
115,Totaal,Overijssel (PV),2015,490227.0,293657.0,191563.0,141475.0,50088.0,5007.0
116,Totaal,Overijssel (PV),2016,493757.0,295204.0,193294.0,139384.0,53910.0,5259.0
117,Totaal,Overijssel (PV),2017,497361.0,295865.0,196326.0,140491.0,55835.0,5170.0
118,Totaal,Overijssel (PV),2018,499951.0,302439.0,192810.0,139420.0,53390.0,4702.0
119,Totaal,Overijssel (PV),2019,505343.0,308443.0,195612.0,140656.0,54956.0,1288.0
120,Totaal,Overijssel (PV),2020,510296.0,310844.0,198869.0,140851.0,58018.0,583.0
121,Totaal,Overijssel (PV),2021,514993.0,313196.0,201337.0,141108.0,60229.0,460.0
122,Totaal,Overijssel (PV),2022,518558.0,316305.0,201848.0,140803.0,61045.0,405.0
123,Totaal,Overijssel (PV),2023,522916.0,318872.0,203713.0,140898.0,62815.0,331.0
124,Totaal,Overijssel (PV),2024,527085.0,322410.0,204374.0,141046.0,63328.0,301.0
125,Totaal,Overijssel (PV),2025,531840.0,326604.0,205012.0,142159.0,62853.0,224.0
126,Totaal,Flevoland (PV),2012,158061.0,101537.0,55003.0,43040.0,11963.0,1521.0
127,Totaal,Flevoland (PV),2013,159496.0,102522.0,56134.0,42861.0,13273.0,840.0
128,Totaal,Flevoland (PV),2014,161512.0,103306.0,57343.0,43016.0,14327.0,863.0
129,Totaal,Flevoland (PV),2015,162731.0,104143.0,57660.0,43158.0,14502.0,928.0
130,Totaal,Flevoland (PV),2016,162918.0,104778.0,57357.0,43306.0,14051.0,783.0
131,Totaal,Flevoland (PV),2017,164229.0,105313.0,58212.0,43218.0,14994.0,704.0
132,Totaal,Flevoland (PV),2018,166487.0,106430.0,59225.0,43262.0,15963.0,832.0
133,Totaal,Flevoland (PV),2019,169237.0,110598.0,58364.0,44594.0,13770.0,275.0
134,Totaal,Flevoland (PV),2020,172227.0,112198.0,59952.0,45006.0,14946.0,77.0
135,Totaal,Flevoland (PV),2021,174659.0,113347.0,61212.0,45257.0,15955.0,100.0
136,Totaal,Flevoland (PV),2022,178000.0,115429.0,62495.0,46074.0,16421.0,76.0
137,Totaal,Flevoland (PV),2023,181165.0,116844.0,64236.0,46274.0,17962.0,85.0
138,Totaal,Flevoland (PV),2024,184425.0,118533.0,65830.0,46833.0,18997.0,62.0
139,Totaal,Flevoland (PV),2025,187199.0,120220.0,66917.0,47639.0,19278.0,62.0
140,Totaal,Gelderland (PV),2012,845193.0,507201.0,325027.0,237027.0,88000.0,12965.0
141,Totaal,Gelderland (PV),2013,859847.0,512172.0,335863.0,240283.0,95580.0,11812.0
142,Totaal,Gelderland (PV),2014,869410.0,514963.0,341602.0,239009.0,102593.0,12845.0
143,Totaal,Gelderland (PV),2015,877662.0,519076.0,347177.0,245867.0,101310.0,11409.0
144,Totaal,Gelderland (PV),2016,885679.0,524949.0,348599.0,245736.0,102863.0,12131.0
145,Totaal,Gelderland (PV),2017,888062.0,527228.0,349182.0,242281.0,106901.0,11652.0
146,Totaal,Gelderland (PV),2018,893989.0,537999.0,346053.0,244078.0,101975.0,9937.0
147,Totaal,Gelderland (PV),2019,903256.0,550266.0,349417.0,248714.0,100703.0,3573.0
148,Totaal,Gelderland (PV),2020,912372.0,555930.0,354888.0,248696.0,106192.0,1554.0
149,Totaal,Gelderland (PV),2021,922524.0,561826.0,359581.0,249428.0,110153.0,1117.0
150,Totaal,Gelderland (PV),2022,932116.0,568530.0,362869.0,250096.0,112773.0,717.0
151,Totaal,Gelderland (PV),2023,940858.0,573452.0,366808.0,250617.0,116191.0,598.0
152,Totaal,Gelderland (PV),2024,950582.0,579958.0,370183.0,252218.0,117965.0,441.0
153,Totaal,Gelderland (PV),2025,958405.0,587217.0,370755.0,254305.0,116450.0,433.0
154,Totaal,Utrecht (PV),2012,528124.0,303721.0,215302.0,153353.0,61949.0,9101.0
155,Totaal,Utrecht (PV),2013,534592.0,307541.0,221205.0,154208.0,66997.0,5846.0
156,Totaal,Utrecht (PV),2014,539078.0,308395.0,224440.0,153103.0,71337.0,6243.0
157,Totaal,Utrecht (PV),2015,543473.0,310707.0,225860.0,155523.0,70337.0,6906.0
158,Totaal,Utrecht (PV),2016,548114.0,313875.0,227499.0,153959.0,73540.0,6740.0
159,Totaal,Utrecht (PV),2017,554305.0,316916.0,230281.0,153801.0,76480.0,7108.0
160,Totaal,Utrecht (PV),2018,557564.0,319764.0,231170.0,153840.0,77330.0,6630.0
161,Totaal,Utrecht (PV),2019,578906.0,339464.0,237872.0,160241.0,77631.0,1570.0
162,Totaal,Utrecht (PV),2020,585924.0,342060.0,242976.0,160642.0,82334.0,888.0
163,Totaal,Utrecht (PV),2021,593799.0,344137.0,248614.0,161984.0,86630.0,1048.0
164,Totaal,Utrecht (PV),2022,601096.0,348377.0,251891.0,162723.0,89168.0,828.0
165,Totaal,Utrecht (PV),2023,608195.0,351254.0,256169.0,163310.0,92859.0,772.0
166,Totaal,Utrecht (PV),2024,614559.0,355106.0,258972.0,164608.0,94364.0,481.0
167,Totaal,Utrecht (PV),2025,620062.0,360332.0,259212.0,165347.0,93865.0,518.0
